GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Bancario,com.example.util,CreditoCodigoGenerator,9,36,2,1,3,6,3,2,1,2
Sistema Bancario,com.example.adapter,ScoreProviderRegistry,0,33,0,0,0,8,0,2,0,2
Sistema Bancario,com.example.adapter,LegacyRiskApi,10,24,1,3,2,6,3,3,2,2
Sistema Bancario,com.example.adapter,LegacyRiskApiAdapter,5,37,3,3,3,12,3,4,0,2
Sistema Bancario,com.example.adapter,BuroFinancieroAdapter,5,30,0,0,0,10,1,2,1,2
Sistema Bancario,com.example.template.impl,SolicitudCreditoDefault,0,103,1,3,0,28,1,5,0,3
Sistema Bancario,com.example.template.impl,AperturaCuentaDefault,72,0,2,0,19,0,5,0,4,0
Sistema Bancario,com.example.state,DesembolsadoState,30,26,4,2,8,7,5,3,2,3
Sistema Bancario,com.example.state,CanceladoState,5,0,0,0,2,0,2,0,2,0
Sistema Bancario,com.example.state,EnMoraState,39,0,4,0,11,0,5,0,3,0
Sistema Bancario,com.example.state,AprobadoState,6,11,0,0,2,4,1,3,1,3
Sistema Bancario,com.example.state,StateFactory,23,16,6,3,6,4,6,2,0,1
Sistema Bancario,com.example.state,CreditoState,35,7,0,0,5,1,5,1,5,1
Sistema Bancario,com.example.state,SolicitadoState,0,17,0,0,0,6,0,4,0,4
Sistema Bancario,com.example.state,RechazadoState,0,5,0,0,0,2,0,2,0,2
Sistema Bancario,com.example.strategy.impl,InteresLibreInversionStrategy,0,10,0,0,0,3,0,2,0,2
Sistema Bancario,com.example.strategy.impl,InteresHipotecarioStrategy,2,18,1,1,0,4,1,2,0,2
Sistema Bancario,com.example.strategy.impl,InteresConsumoStrategy,0,10,0,0,0,3,0,2,0,2
Sistema Bancario,com.example.observer,CreditoEstadoCambiadoEvent,0,11,0,0,0,5,0,3,0,3
Sistema Bancario,com.example.observer,FraudeObserver,16,7,2,0,4,2,2,2,1,2
Sistema Bancario,com.example.observer,NotificacionObserver,0,24,1,1,0,6,1,3,0,3
Sistema Bancario,com.example.observer,TransaccionRegistradaEvent,5,6,0,0,2,3,2,1,2,1
Sistema Bancario,com.example.observer,DomainEventPublisher,0,27,0,4,0,7,0,4,0,2
Sistema Bancario,com.example.observer,CuentaSaldoActualizadoEvent,11,0,0,0,5,0,3,0,3,0
Sistema Bancario,com.example.observer,LoggingObserver,0,14,0,0,0,4,0,3,0,3
Sistema Bancario,com.example.observer,DomainEvent,0,9,0,0,0,3,0,2,0,2
Sistema Bancario,com.example.factory,ValidadorCedula,2,13,1,3,1,2,2,3,1,2
Sistema Bancario,com.example.factory,TransferenciaFactory,40,0,0,0,13,0,2,0,2,0
Sistema Bancario,com.example.factory,FabricaProductosProvider,0,28,0,5,0,7,0,5,0,2
Sistema Bancario,com.example.factory,PagoServicioFactory,39,0,0,0,12,0,2,0,2,0
Sistema Bancario,com.example.factory,DepositoFactory,33,0,0,0,11,0,2,0,2,0
Sistema Bancario,com.example.factory,ValidadorNIT,2,13,1,3,1,2,2,3,1,2
Sistema Bancario,com.example.factory,TransaccionFactory,3,3,0,0,1,1,1,1,1,1
Sistema Bancario,com.example.factory,FactoryPersonaNatural,42,59,0,0,10,13,2,4,2,4
Sistema Bancario,com.example.factory,FactoryPersonaJuridica,42,59,0,0,10,13,2,4,2,4
Sistema Bancario,com.example.factory,RetiroFactory,0,34,0,0,0,11,0,2,0,2
Sistema Bancario,com.example.factory,FactoryExtranjero,42,59,0,0,10,13,2,4,2,4
Sistema Bancario,com.example.factory,ValidadorPasaporte,15,0,4,0,3,0,5,0,3,0
Sistema Bancario,com.example.strategy,InteresStrategyRegistry,3,56,1,5,1,10,1,5,0,2
Sistema Bancario,com.example.model,Transaccion.EstadoTransaccion,0,34,0,0,0,2,0,1,0,1
Sistema Bancario,com.example.model,Transaccion.TipoTransaccion,0,44,0,0,0,2,0,1,0,1
Sistema Bancario,com.example.model,Solicitud.EstadoSolicitud,0,44,0,0,0,2,0,1,0,1
Sistema Bancario,com.example.model,Cuenta.EstadoCuenta,0,34,0,0,0,2,0,1,0,1
Sistema Bancario,com.example.model,Transaccion,10,79,0,4,4,31,3,20,3,18
